Date_Time,Year,Month,Day,Hour,Minute,Day_Night,Departure_Location,Arrival_Location,Number_of_Passengers,Seat_Selection,Bus_Type,Customer_ID,Contact_Email,Contact_Phone,Ticket_Price,Payment_Method,Transaction_ID,Bus_Operator,Bus_ID,Departure_Time,Route_Info,Coupon_Code,Discount_Percentage,Cancellation_Time,Refund_Amount,Review_Text,Rating,Popular_Destinations,Regional_Trends,Bus_Occupancy,Punctuality,Peak_Travel_Seasons,Gender,Device_Type,Operating_System,Browser
2019-08-27 01:36:40,2019,8,27,1,36,Night,Tirunelveli,Thoothukudi,1,"18, 18",Luxury AC/Non-AC,660673,customer4@example.com,+123456722689,214.49,Net Banking,1437806192,Sharma Transports,BUS716,2023-03-09 05:45:27,"Nagercoil, Cuddalore, Erode, Thanjavur, Karur",DISCOUNT4,11,2023-12-17 02:33:00,26.88,Experience was excellent!,3.7,"Salem, Kancheepuram",Region 1: Higher booking volume in this region,0.92,On-time performance is 83%,"Season 7, Season 4",Male,Desktop,iOS,Safari
2022-01-31 23:47:08,2022,1,31,23,47,Night,Kancheepuram,Madurai,4,"13, 27",Scania AC,933459,customer100@example.com,+123456725389,240.32,Credit Card,2066486926,RKT Tours and Travels,BUS713,2023-09-10 03:35:19,"Thanjavur, Karur, Dindigul, Kumbakonam, Chennai",DISCOUNT8,17,2023-01-14 02:24:37,41.97,Experience was good!,4.5,"Chennai, Salem, Pollachi",Region 4: Higher booking volume in this region,0.63,On-time performance is 74%,"Season 1, Season 1",Female,Desktop,macOS,Opera
2020-11-25 20:17:21,2020,11,25,20,17,Night,Tiruchirappalli,Dindigul,3,"22, 14",Mercedes Benz AC,384709,customer70@example.com,+123456758489,154.25,Credit Card,6403265651,National Travels,BUS725,2023-07-13 23:42:17,"Rajapalayam, Cuddalore",DISCOUNT16,7,2023-03-14 20:54:20,39.29,Experience was excellent!,4.8,"Karur, Neyveli, Madurai, Thoothukudi",Region 2: Higher booking volume in this region,0.66,On-time performance is 72%,"Season 1, Season 3",Male,Mobile,macOS,Edge
2023-11-11 19:15:39,2023,11,11,19,15,Night,Madurai,Coimbatore,1,"15, 23",Scania AC,912434,customer5@example.com,+123456761089,155.96,Debit Card,8280347541,Parveen Travels,BUS183,2023-11-24 23:25:17,"Thoothukudi, Nagercoil, Chennai, Madurai, Salem",DISCOUNT8,17,2023-12-24 08:08:37,43.58,Experience was excellent!,3.5,"Kumbakonam, Chennai, Vellore, Kancheepuram, Thoothukudi",Region 2: Higher booking volume in this region,0.66,On-time performance is 71%,"Season 2, Season 5",Female,Mobile,iOS,Firefox
2016-06-11 01:30:32,2016,6,11,1,30,Night,Erode,Vellore,3,"25, 3",Volvo Multi-Axle AC,732986,customer89@example.com,+123456773089,69.29,Credit Card,6877653305,National Travels,BUS528,2024-02-24 11:44:21,"Tiruchirappalli, Rajapalayam, Karur",DISCOUNT7,5,2024-09-10 01:11:24,46.36,Experience was average!,3.7,"Vellore, Coimbatore, Nagercoil, Pollachi, Kumbakonam",Region 2: Higher booking volume in this region,0.67,On-time performance is 98%,"Season 6, Season 4",Male,Mobile,Android,Chrome
2020-01-01 19:51:32,2020,1,1,19,51,Night,Erode,Tiruchirappalli,1,"30, 27",Double Decker AC/Non-AC,880182,customer20@example.com,+123456788889,295.56,Net Banking,7470454947,ABT X Travels,BUS352,2024-09-14 01:56:52,"Rajapalayam, Nagercoil, Tiruchirappalli, Dindigul, Salem",DISCOUNT10,18,2024-06-16 05:57:39,43.67,Experience was excellent!,3.2,"Madurai, Chennai",Region 2: Higher booking volume in this region,0.97,On-time performance is 87%,"Season 6, Season 1",Male,Desktop,Windows,Opera
2017-01-19 21:41:05,2017,1,19,21,41,Night,Tiruchirappalli,Karur,1,"21, 17",Luxury AC/Non-AC,778498,customer62@example.com,+123456776989,112.56,Credit Card,7695383292,SRS Travels,BUS171,2024-06-20 16:04:04,"Neyveli, Kancheepuram",DISCOUNT2,19,2023-05-06 05:20:52,32.29,Experience was excellent!,4.2,"Thanjavur, Kancheepuram, Coimbatore, Vellore, Thoothukudi",Region 5: Higher booking volume in this region,0.56,On-time performance is 90%,"Season 6, Season 2",Male,Desktop,macOS,Safari
2022-03-18 19:53:48,2022,3,18,19,53,Night,Pollachi,Madurai,1,"9, 16",Mercedes Benz AC,543508,customer51@example.com,+123456760889,188.31,Debit Card,9122021681,Kesineni Travels,BUS485,2024-01-05 03:39:39,"Dindigul, Salem, Ranipet",DISCOUNT8,6,2024-01-21 18:37:33,18.79,Experience was average!,4.1,"Pollachi, Ranipet, Kancheepuram, Thanjavur, Chennai",Region 2: Higher booking volume in this region,0.74,On-time performance is 81%,"Season 6, Season 2",Male,Tablet,macOS,Opera
2021-12-01 14:31:05,2021,12,1,14,31,Day,Vellore,Kumbakonam,2,"8, 9",Luxury AC/Non-AC,452411,customer88@example.com,+123456771289,256.21,Debit Card,7892131561,MJT Travels,BUS241,2023-01-28 23:07:27,"Tiruchirappalli, Neyveli, Kancheepuram",DISCOUNT4,12,2023-11-21 01:58:38,21.86,Experience was average!,3.7,"Cuddalore, Salem, Dindigul, Coimbatore",Region 5: Higher booking volume in this region,0.54,On-time performance is 90%,"Season 5, Season 4",Male,Desktop,macOS,Edge
2023-11-15 19:01:03,2023,11,15,19,1,Night,Tiruchirappalli,Vellore,3,"20, 7",AC Sleeper,865419,customer89@example.com,+123456743789,292.02,Debit Card,9359093705,SRS Travels,BUS289,2024-03-30 08:14:07,"Neyveli, Karur, Kumbakonam, Dindigul, Nagercoil",DISCOUNT7,16,2023-08-10 12:40:45,32.21,Experience was excellent!,4.4,"Tiruchirappalli, Vellore, Erode, Kumbakonam, Ranipet",Region 2: Higher booking volume in this region,0.58,On-time performance is 84%,"Season 5, Season 1",Male,Tablet,iOS,Safari
2017-01-09 22:20:47,2017,1,9,22,20,Night,Madurai,Rajapalayam,2,"11, 2",Party Buses,382376,customer63@example.com,+123456795489,259.67,Net Banking,8895112080,Sharma Transports,BUS265,2023-06-30 09:00:33,"Thoothukudi, Madurai",DISCOUNT3,18,2024-05-02 12:51:46,44.4,Experience was excellent!,3.1,"Pollachi, Thoothukudi, Madurai, Ranipet",Region 5: Higher booking volume in this region,0.94,On-time performance is 81%,"Season 1, Season 7",Male,Mobile,macOS,Opera
2019-05-02 03:27:38,2019,5,2,3,27,Night,Erode,Chennai,1,"8, 16",AC Sleeper,402519,customer41@example.com,+123456787689,201.56,Credit Card,7307658356,Bharathi Travels,BUS246,2023-10-03 23:21:17,"Karur, Ranipet, Rajapalayam",DISCOUNT12,9,2023-09-21 04:07:42,43.6,Experience was average!,4.7,"Madurai, Dindigul, Salem, Coimbatore, Thoothukudi",Region 1: Higher booking volume in this region,0.98,On-time performance is 81%,"Season 6, Season 7",Female,Mobile,Windows,Chrome
2022-03-08 10:08:50,2022,3,8,10,8,Day,Rajapalayam,Vellore,2,"19, 4",Scania AC,766655,customer30@example.com,+123456757189,96.46,Credit Card,4394008340,RKT Tours and Travels,BUS145,2023-05-05 15:59:05,"Nagercoil, Ranipet, Tirunelveli",DISCOUNT11,8,2024-08-26 07:27:44,10.87,Experience was average!,3.2,"Coimbatore, Thanjavur, Rajapalayam, Tiruchirappalli, Neyveli",Region 1: Higher booking volume in this region,0.91,On-time performance is 99%,"Season 3, Season 7",Female,Desktop,Android,Edge
2022-06-16 22:36:04,2022,6,16,22,36,Night,Cuddalore,Kumbakonam,3,"26, 13",Luxury AC/Non-AC,978420,customer20@example.com,+123456755989,85.31,Credit Card,1830675474,KPN Travels,BUS194,2023-12-15 01:14:50,"Ranipet, Nagercoil",DISCOUNT14,8,2023-03-08 15:44:40,21.64,Experience was excellent!,3.3,"Neyveli, Nagercoil",Region 1: Higher booking volume in this region,0.58,On-time performance is 78%,"Season 4, Season 7",Male,Tablet,macOS,Edge
2022-10-27 18:14:07,2022,10,27,18,14,Night,Vellore,Karur,4,"27, 12",Party Buses,279411,customer53@example.com,+123456761989,185.77,Net Banking,1016647520,Kesineni Travels,BUS963,2024-04-07 16:00:04,"Cuddalore, Thanjavur",DISCOUNT6,19,2024-12-28 20:55:02,24.56,Experience was excellent!,3.5,"Salem, Erode, Coimbatore",Region 1: Higher booking volume in this region,0.95,On-time performance is 79%,"Season 4, Season 2",Female,Tablet,macOS,Safari
2020-01-23 23:19:19,2020,1,23,23,19,Night,Karur,Vellore,3,"19, 21",Volvo Multi-Axle AC,279861,customer61@example.com,+123456768289,207.6,Credit Card,2065368143,Ramu Travels,BUS860,2024-05-13 03:15:28,"Nagercoil, Tirunelveli, Karur",DISCOUNT10,13,2023-11-02 23:57:47,30.38,Experience was average!,4.0,"Tiruchirappalli, Kumbakonam, Tirunelveli",Region 4: Higher booking volume in this region,0.79,On-time performance is 91%,"Season 6, Season 5",Female,Desktop,Windows,Chrome
2018-04-02 03:31:25,2018,4,2,3,31,Night,Kumbakonam,Dindigul,4,"8, 16",Mercedes Benz AC,270273,customer40@example.com,+123456719889,67.31,Net Banking,6241322255,Kesineni Travels,BUS491,2024-03-13 11:23:36,"Dindigul, Tirunelveli, Salem, Neyveli, Thoothukudi",DISCOUNT4,13,2023-04-22 15:17:53,32.12,Experience was average!,3.3,"Kumbakonam, Tirunelveli",Region 1: Higher booking volume in this region,0.8,On-time performance is 80%,"Season 3, Season 6",Male,Mobile,Android,Firefox
2023-05-15 18:29:30,2023,5,15,18,29,Night,Dindigul,Karur,1,"27, 20",Volvo Multi-Axle AC,476290,customer67@example.com,+123456722089,244.17,Net Banking,6791815579,SRM Transports,BUS952,2024-09-22 09:54:35,"Thanjavur, Coimbatore",DISCOUNT4,10,2024-08-17 16:03:12,21.49,Experience was average!,3.6,"Madurai, Cuddalore, Dindigul, Erode",Region 5: Higher booking volume in this region,0.61,On-time performance is 94%,"Season 7, Season 3",Male,Mobile,Windows,Edge
2020-06-30 23:19:41,2020,6,30,23,19,Night,Tirunelveli,Kancheepuram,4,"25, 29",Luxury AC/Non-AC,128619,customer37@example.com,+123456745389,87.45,Credit Card,2664723646,Parveen Travels,BUS459,2023-04-29 00:52:40,"Nagercoil, Chennai",DISCOUNT12,18,2024-10-26 09:19:13,25.04,Experience was average!,3.5,"Tirunelveli, Karur",Region 1: Higher booking volume in this region,0.7,On-time performance is 71%,"Season 1, Season 4",Female,Tablet,macOS,Chrome
2019-03-16 15:44:09,2019,3,16,15,44,Day,Coimbatore,Coimbatore,3,"27, 19",Party Buses,143629,customer1@example.com,+123456784389,136.92,Debit Card,8298361033,Kesineni Travels,BUS559,2023-03-26 11:21:41,"Vellore, Chennai, Kancheepuram, Thanjavur",DISCOUNT11,10,2024-09-16 15:53:56,28.0,Experience was good!,3.2,"Rajapalayam, Thanjavur, Nagercoil, Thoothukudi, Karur",Region 1: Higher booking volume in this region,0.91,On-time performance is 90%,"Season 4, Season 1",Female,Tablet,iOS,Chrome
2016-01-17 08:56:19,2016,1,17,8,56,Day,Erode,Pollachi,1,"12, 13",Volvo AC,686634,customer66@example.com,+123456774889,160.19,Credit Card,7254636045,National Travels,BUS921,2023-11-24 09:03:16,"Vellore, Ranipet, Dindigul, Madurai",DISCOUNT14,14,2024-12-27 03:10:29,42.47,Experience was average!,4.9,"Pollachi, Kancheepuram, Salem, Neyveli",Region 1: Higher booking volume in this region,0.78,On-time performance is 89%,"Season 7, Season 6",Male,Mobile,Android,Firefox
2017-01-26 00:38:34,2017,1,26,0,38,Night,Coimbatore,Cuddalore,4,"16, 29",AC Sleeper,339367,customer75@example.com,+123456714289,132.09,Credit Card,1350564836,Universal Travels,BUS673,2024-05-05 20:25:16,"Thanjavur, Pollachi, Neyveli, Cuddalore, Vellore",DISCOUNT18,18,2023-09-30 13:56:45,13.85,Experience was excellent!,3.2,"Neyveli, Kumbakonam, Cuddalore, Coimbatore, Tiruchirappalli",Region 4: Higher booking volume in this region,0.87,On-time performance is 74%,"Season 1, Season 6",Female,Mobile,Android,Chrome
2020-05-19 08:43:30,2020,5,19,8,43,Day,Cuddalore,Rajapalayam,1,"19, 6",Double Decker AC/Non-AC,183049,customer72@example.com,+123456741089,97.43,Net Banking,3307242178,Bharathi Travels,BUS958,2024-01-08 20:26:54,"Coimbatore, Dindigul, Madurai, Rajapalayam, Thoothukudi",DISCOUNT4,7,2023-11-30 23:14:41,24.33,Experience was good!,3.1,"Pollachi, Kumbakonam",Region 5: Higher booking volume in this region,0.88,On-time performance is 79%,"Season 4, Season 2",Female,Tablet,Windows,Opera
2024-11-14 13:48:31,2024,11,14,13,48,Day,Coimbatore,Ranipet,1,"29, 16",Volvo Multi-Axle AC,925951,customer44@example.com,+123456789989,95.82,Credit Card,5583046470,SRM Transports,BUS461,2023-05-02 16:38:20,"Cuddalore, Vellore, Kancheepuram",DISCOUNT1,13,2023-05-03 01:53:42,20.33,Experience was good!,3.9,"Kumbakonam, Madurai, Pollachi",Region 1: Higher booking volume in this region,0.55,On-time performance is 81%,"Season 6, Season 3",Male,Desktop,Android,Chrome
2022-10-30 16:17:34,2022,10,30,16,17,Day,Dindigul,Kumbakonam,3,"15, 4",Volvo Multi-Axle AC,364570,customer39@example.com,+123456776689,123.59,Credit Card,5411564932,Universal Travels,BUS575,2023-03-17 00:18:38,"Rajapalayam, Kumbakonam, Salem, Kancheepuram",DISCOUNT15,12,2023-03-16 14:22:44,18.51,Experience was good!,4.2,"Thanjavur, Coimbatore",Region 1: Higher booking volume in this region,0.76,On-time performance is 72%,"Season 4, Season 7",Male,Tablet,Windows,Opera
2023-10-29 22:24:37,2023,10,29,22,24,Night,Chennai,Tirunelveli,4,"14, 14",Scania AC,488980,customer23@example.com,+123456797789,210.03,Debit Card,2516585570,Sharma Transports,BUS929,2024-02-28 12:34:48,"Kancheepuram, Coimbatore, Pollachi, Nagercoil, Madurai",DISCOUNT10,20,2024-03-22 21:46:40,43.85,Experience was good!,3.2,"Dindigul, Coimbatore, Rajapalayam",Region 4: Higher booking volume in this region,0.7,On-time performance is 74%,"Season 7, Season 1",Male,Desktop,Android,Opera
2021-02-12 17:41:51,2021,2,12,17,41,Day,Nagercoil,Pollachi,1,"8, 4",Volvo Multi-Axle AC,345257,customer75@example.com,+123456729389,265.34,Debit Card,8094664612,Ramu Travels,BUS323,2024-06-09 17:05:54,"Tirunelveli, Kancheepuram, Thanjavur, Chennai",DISCOUNT5,15,2024-01-29 20:28:41,15.32,Experience was good!,4.7,"Tiruchirappalli, Nagercoil, Madurai, Neyveli, Pollachi",Region 5: Higher booking volume in this region,0.99,On-time performance is 81%,"Season 3, Season 4",Male,Tablet,Android,Opera
2016-08-07 02:49:49,2016,8,7,2,49,Night,Ranipet,Neyveli,2,"14, 7",Mercedes Benz AC,683937,customer63@example.com,+123456763489,90.31,Net Banking,4264098199,Kesineni Travels,BUS182,2023-08-24 18:23:07,"Cuddalore, Tirunelveli, Thanjavur",DISCOUNT17,20,2023-05-03 01:10:43,20.23,Experience was good!,4.7,"Pollachi, Thanjavur, Thoothukudi, Tiruchirappalli",Region 5: Higher booking volume in this region,0.98,On-time performance is 80%,"Season 4, Season 1",Male,Desktop,macOS,Firefox
2016-07-03 19:15:31,2016,7,3,19,15,Night,Neyveli,Madurai,4,"6, 19",Mercedes Benz AC,956818,customer32@example.com,+123456725389,210.02,Credit Card,6056709602,Ramu Travels,BUS874,2023-12-19 14:43:01,"Nagercoil, Madurai, Chennai",DISCOUNT5,9,2024-12-09 06:32:26,19.28,Experience was excellent!,5.0,"Pollachi, Madurai, Chennai, Kancheepuram",Region 3: Higher booking volume in this region,0.75,On-time performance is 97%,"Season 3, Season 3",Female,Mobile,Windows,Firefox
2017-10-23 15:15:59,2017,10,23,15,15,Day,Thoothukudi,Kancheepuram,4,"25, 22",Luxury AC/Non-AC,660123,customer20@example.com,+123456748889,202.26,Net Banking,1320096548,Rathimeena Travels,BUS891,2024-09-15 11:13:05,"Neyveli, Tiruchirappalli, Tirunelveli, Kancheepuram",DISCOUNT10,13,2024-01-31 05:36:14,36.28,Experience was excellent!,4.3,"Coimbatore, Tirunelveli, Rajapalayam, Tiruchirappalli",Region 3: Higher booking volume in this region,0.63,On-time performance is 90%,"Season 3, Season 3",Male,Desktop,iOS,Chrome
2020-12-01 03:43:09,2020,12,1,3,43,Night,Kumbakonam,Pollachi,2,"8, 7",AC Sleeper,293313,customer64@example.com,+123456746389,75.33,Credit Card,1472814055,SRM Transports,BUS198,2024-01-25 12:11:10,"Vellore, Thanjavur, Rajapalayam, Kancheepuram, Chennai",DISCOUNT19,18,2023-11-01 03:40:49,12.83,Experience was excellent!,5.0,"Thoothukudi, Ranipet, Neyveli, Rajapalayam, Kancheepuram",Region 5: Higher booking volume in this region,0.94,On-time performance is 79%,"Season 6, Season 3",Female,Desktop,iOS,Edge
2017-02-01 11:42:07,2017,2,1,11,42,Day,Salem,Thanjavur,4,"19, 30",Mercedes Benz AC,946035,customer57@example.com,+123456772089,169.26,Debit Card,5206845505,Kesineni Travels,BUS610,2024-11-17 10:38:46,"Thanjavur, Thoothukudi",DISCOUNT16,13,2023-09-23 12:26:25,32.18,Experience was average!,3.5,"Ranipet, Nagercoil, Cuddalore, Thoothukudi",Region 4: Higher booking volume in this region,0.56,On-time performance is 77%,"Season 6, Season 7",Male,Desktop,Android,Firefox
2022-09-05 11:47:40,2022,9,5,11,47,Day,Neyveli,Karur,2,"30, 21",Volvo AC,388736,customer93@example.com,+123456745189,84.55,Net Banking,2132959288,Kesineni Travels,BUS634,2024-09-25 15:16:54,"Coimbatore, Cuddalore, Karur",DISCOUNT20,18,2023-10-24 07:53:07,26.23,Experience was good!,4.4,"Rajapalayam, Dindigul, Cuddalore, Erode",Region 1: Higher booking volume in this region,0.9,On-time performance is 83%,"Season 4, Season 6",Male,Desktop,macOS,Opera
2023-07-01 01:22:35,2023,7,1,1,22,Night,Madurai,Chennai,2,"22, 3",Double Decker AC/Non-AC,424645,customer82@example.com,+123456786189,116.51,Debit Card,3633461157,Hindusthan Travels,BUS829,2024-01-01 15:16:48,"Thoothukudi, Cuddalore, Chennai, Kancheepuram",DISCOUNT9,17,2023-01-01 18:45:17,45.72,Experience was average!,4.0,"Nagercoil, Cuddalore, Thanjavur",Region 2: Higher booking volume in this region,0.6,On-time performance is 71%,"Season 2, Season 7",Female,Desktop,macOS,Edge
2024-06-10 23:32:00,2024,6,10,23,32,Night,Karur,Tirunelveli,2,"5, 19",Semi-Sleeper Non-AC,112650,customer38@example.com,+123456760789,170.81,Debit Card,6681446545,Sharma Transports,BUS717,2024-10-04 19:10:36,"Thoothukudi, Tiruchirappalli, Cuddalore, Dindigul",DISCOUNT11,14,2024-03-02 02:29:38,15.49,Experience was excellent!,3.6,"Thoothukudi, Madurai",Region 5: Higher booking volume in this region,0.84,On-time performance is 98%,"Season 5, Season 4",Male,Tablet,Android,Safari
2018-09-07 02:23:43,2018,9,7,2,23,Night,Cuddalore,Thanjavur,4,"29, 25",Double Decker AC/Non-AC,731296,customer74@example.com,+123456764689,115.57,Debit Card,9987288100,ABT X Travels,BUS727,2023-09-09 23:33:22,"Coimbatore, Neyveli",DISCOUNT20,20,2024-05-26 19:03:23,18.01,Experience was excellent!,3.5,"Pollachi, Dindigul, Tirunelveli, Neyveli, Nagercoil",Region 2: Higher booking volume in this region,0.77,On-time performance is 90%,"Season 5, Season 5",Female,Tablet,macOS,Edge
2018-12-26 03:32:27,2018,12,26,3,32,Night,Vellore,Coimbatore,3,"1, 3",Double Decker AC/Non-AC,970422,customer17@example.com,+123456789089,272.24,Debit Card,7472329378,KPN Travels,BUS489,2023-07-26 12:18:40,"Ranipet, Erode",DISCOUNT9,7,2024-12-05 05:33:29,38.81,Experience was good!,4.6,"Kancheepuram, Rajapalayam, Salem, Chennai, Madurai",Region 5: Higher booking volume in this region,0.94,On-time performance is 99%,"Season 4, Season 6",Female,Mobile,macOS,Firefox
2022-05-11 10:47:52,2022,5,11,10,47,Day,Salem,Karur,1,"8, 9",Volvo AC,568217,customer85@example.com,+123456795289,116.81,Net Banking,3904079073,Rathimeena Travels,BUS671,2023-12-24 19:57:53,"Thoothukudi, Tirunelveli",DISCOUNT16,13,2023-04-22 06:21:21,35.83,Experience was excellent!,3.8,"Ranipet, Thoothukudi, Thanjavur",Region 5: Higher booking volume in this region,0.99,On-time performance is 85%,"Season 1, Season 4",Female,Desktop,macOS,Opera
2022-06-15 13:23:06,2022,6,15,13,23,Day,Pollachi,Nagercoil,4,"28, 24",Party Buses,886612,customer74@example.com,+123456794989,169.72,Net Banking,6448469950,Sharma Transports,BUS444,2024-03-18 06:52:54,"Erode, Rajapalayam, Dindigul, Coimbatore, Cuddalore",DISCOUNT4,15,2023-03-11 06:29:44,30.56,Experience was good!,4.0,"Madurai, Tirunelveli, Neyveli, Vellore",Region 4: Higher booking volume in this region,0.93,On-time performance is 84%,"Season 2, Season 5",Female,Tablet,macOS,Opera
2022-02-15 23:14:12,2022,2,15,23,14,Night,Cuddalore,Erode,4,"12, 30",Double Decker AC/Non-AC,500523,customer73@example.com,+123456714489,162.04,Net Banking,8728645930,Bharathi Travels,BUS226,2023-04-01 15:36:23,"Dindigul, Tirunelveli",DISCOUNT16,15,2024-10-29 09:55:48,25.18,Experience was good!,4.2,"Neyveli, Vellore",Region 4: Higher booking volume in this region,0.92,On-time performance is 93%,"Season 3, Season 3",Male,Desktop,Windows,Opera
2019-08-12 07:30:13,2019,8,12,7,30,Day,Salem,Coimbatore,3,"20, 24",Party Buses,942893,customer68@example.com,+123456733789,77.46,Net Banking,7897672144,Kesineni Travels,BUS146,2023-06-27 02:30:06,"Coimbatore, Nagercoil, Dindigul, Thoothukudi, Tiruchirappalli",DISCOUNT15,19,2024-08-23 02:02:44,27.76,Experience was good!,4.8,"Kumbakonam, Cuddalore, Nagercoil, Madurai",Region 3: Higher booking volume in this region,0.76,On-time performance is 72%,"Season 7, Season 6",Female,Desktop,Windows,Safari
